UNIXTime;Data;Humidity;Radiation;Temperature;Pressure;WindDirection(Degrees);Speed;duration(minute)
1472839505;09/02/2016 00:00;34;463.3;60;30.46;73.94;1.12;750
1472925903;09/03/2016 00:00;90;451.16;57;30.44;266.07;13.5;748
1473012303;09/04/2016 00:00;89;450.49;57;30.47;96.36;2.25;747
1473098703;09/05/2016 00:00;75;466.48;56;30.43;272.12;5.62;747
1473185118;09/06/2016 00:00;41;475.69;60;30.41;123.65;2.25;746
1473271522;09/07/2016 00:00;97;335.14;52;30.44;111.66;5.62;745
1473347124;09/08/2016 00:00;75;2.01;43;30.4;190.63;3.37;743
1473617119;09/11/2016 00:00;51;490.87;57;30.48;34.15;2.25;740
1473703521;09/12/2016 00:00;61;454.42;60;30.5;335.78;4.5;739
1473789903;9/13/2016 00:00 ;65;370.08;59;30.46;345.5;5.62;737
1473876304;9/14/2016 00:00;74;449.18;55;30.43;1;1.12;736
1473962704;9/15/2016 00:00;99;92.16;50;30.44;174.78;;736
1474135504;9/17/2016 00:00;101;207.86;55;30.48;74.28;9;734
1474221903;9/18/2016 00:00;79;448.84;60;30.47;75.62;4.5;732
1474308309;9/19/2016 00:00;20;472.3;65;30.44;159.88;3.37;731
1474394704;9/20/2016 00:00;43;471.33;58;30.41;126.51;3.37;730
1474481106;9/21/2016 00:00;91;458.2;56;30.41;351.8;2.25;729
1474567519;9/22/201600:00;23;467.47;62;30.42;117.99;6.75;728
1474653919;9/23/201600:00;101;420.58;54;30.46;58.32;5.62;726
1474740320;9/24/201600:00;88;421.08;60;30.48;116.55;1.12;725
1474826719;9/25/201600:00;30;452.32;61;30.48;121.41;6.75;724
1474913122;9/26/201600:00;98;454.87;52;30.44;176.52;3.37;723
1474999520;9/27/201600:00;79;451.12;56;30.39;97.78;1.12;722
1475085920;9/28/201600:00;62;446.9;59;30.41;55.89;6.75;721
1475172318;9/29/201600:00;40;458.27;59;30.45;74.63;1.12;720
1475345121;10/01/2016 00:00;101;366.92;53;30.47;32.56;3.37;718
1475431521;10/02/2016 00:00;96;376.57;55;30.46;63.86;10.12;716
1475517922;10/03/2016 00:00;90;294.95;53;30.45;119.89;11.25;715
1475604323;10/04/2016 00:00;99;117.65;52;30.45;321.2;1.12;714
1475690719;10/05/2016 00:00;100;252.93;55;30.46;133.96;11.25;714
1475777128;10/06/2016 00:00;90;230.73;52;30.48;178.54;3.37;712
1475863521;10/07/2016 00:00;80;441.39;56;30.43;96.06;2.25;711
1475949925;10/08/2016 00:00;83;253.8;52;30.42;135.21;3.37;710
1476036328;10/09/2016 00:00;67;372.15;58;30.43;219.59;4.5;708
1476122723;10/10/2016 00:00;57;439.23;57;30.42;246.38;2.25;707
1476209120;10/11/2016 00:00;70;434.55;57;30.45;65.35;3.37;707
1476295524;10/12/2016 00:00;94;469.08;54;30.47;132.21;4.5;706
1476381923;10/13/2016 00:00;28;442.65;60;30.48;73.36;9;704
1476468323;10/14/2016 00:00;21;447.93;61;30.46;38.24;4.5;703
1476554725;10/15/2016 00:00;14;446.15;63;30.5;68.74;4.5;702
1476641122;10/16/2016 00:00;15;273.41;61;30.54;221.92;1.12;701
1476727521;10/17/2016 00:00;16;436.96;60;30.47;119.11;10.12;700
1476813918;10/18/2016 00:00;98;451.7;55;30.45;132.28;3.37;699
1476900320;10/19/2016 00:00;92;260.75;56;30.46;132.1;4.5;697
1476986721;10/20/2016 00:00;66;422.05;51;30.47;167.67;5.62;716
1477073121;10/21/2016 00:00;102;77.53;48;30.45;156.35;2.25;696
1477159519;10/22/2016 00:00;102;234.8;48;30.42;86.67;4.5;694
1477245917;10/23/2016 00:00;101;260.27;47;30.4;24.87;3.37;694
1477332318;10/24/2016 00:00;47;436.54;57;30.45;128.19;3.37;692
1477418719;10/25/2016 00:00;50;379.94;54;30.47;207.94;1.12;691
1477505120;10/26/2016 00:00;14;419.56;59;30.44;177.55;5.62;691
1477591520;10/27/2016 00:00;87;400.12;53;30.41;168.42;4.5;689
1477677918;10/28/2016 00:00;102;233.37;49;30.4;112.39;12.37;689
1477764318;10/29/2016 00:00;102;127.27;49;30.42;98.35;1.12;687
1477850718;10/30/2016 00:00;103;56.46;48;30.46;73.11;7.87;686
1477937117;10/31/2016 00:00;101;130.69;50;30.49;112.47;9;686
1478023520;11/01/2016 00:00;53;107.57;47;30.49;152.73;4.5;684
1478109917;11/02/2016 00:00;29;407.26;52;30.47;163.35;6.75;684
1478196317;11/03/2016 00:00;26;396.63;58;30.45;130.5;2.25;682
1478282718;11/04/2016 00:00;25;393.73;56;30.47;138.86;4.5;682
1478369120;11/05/2016 00:00;24;393.15;56;30.5;135.21;7.87;680
1478455501;11/06/2016 00:00;20;396.03;58;30.48;55.29;2.25;680
1478541908;11/07/2016 00:00;15;351.05;57;30.46;251.5;6.75;679
1478628302;11/08/2016 00:00;35;354.88;52;30.43;177.93;;678
1478714702;11/09/2016 00:00;56;354.01;53;30.45;328.66;2.25;677
1478801104;11/10/2016 00:00;15;362.65;56;30.45;277.86;5.62;677
1478887504;11/11/2016 00:00;27;358.26;58;30.51;51.68;2.25;675
1478973901;11/12/2016 00:00;67;364.87;55;30.48;45.75;3.37;674
1479060302;11/13/2016 00:00;60;369.61;52;30.47;69.24;4.5;674
1479146702;11/14/2016 00:00;73;365.87;52;30.48;63.55;1.12;672
1479233101;11/15/2016 00:00;51;363.26;51;30.47;51.39;7.87;672
1479319502;11/16/2016 00:00;16;366.01;56;30.47;116.23;6.75;671
1479405904;11/17/2016 00:00;15;363.13;59;30.45;138.54;10.12;671
1479492318;11/18/2016 00:00;77;162.99;52;30.44;112.03;10.12;670
1479578719;11/19/2016 00:00;37;469.34;54;30.43;251.09;2.25;668
1479665119;11/20/2016 00:00;81;351.95;48;30.45;183.6;2.25;668
1479751501;11/21/2016 00:00;91;109.62;48;30.44;170.41;4.5;667
1479837901;11/22/2016 00:00;103;97.3;48;30.44;86.6;7.87;667
1479924306;11/23/2016 00:00;100;291.33;45;30.45;172.91;4.5;666
1480010702;11/24/2016 00:00;101;340.89;47;30.47;144.13;4.5;665
1480097104;11/25/2016 00:00;102;123.55;45;30.49;117.44;10.12;665
1480183502;11/26/2016 00:00;54;286.35;46;30.46;106.18;7.87;664
1480269918;11/27/2016 00:00;100;320.35;46;30.47;46.73;3.37;664
1480356324;11/28/2016 00:00;33;329.76;49;30.46;165.44;9;663
1480442702;11/29/2016 00:00;100;175.07;45;30.43;131.33;11.25;662
1480615502;12/01/2016 00:00;96;9.03;43;30.42;183.53;12.37;661
1480701904;12/02/2016 00:00;93;7.01;45;30.4;192.71;11.25;660
1480788334;12/03/2016 00:00;93;179.37;45;30.33;127.7;4.5;661
1480874734;12/04/2016 00:00;93;121.33;45;30.37;188.23;5.62;660
1480961136;12/05/2016 00:00;93;45.8;45;30.35;312.8;4.5;659
1481306752;12/09/2016 00:00;86;82.39;50;30.4;207.08;3.37;658
1481393140;12/10/2016 00:00;98;36.27;49;30.42;196.67;5.62;657
1481479556;12/11/2016 00:00;99;187.32;46;30.41;178.27;4.5;657
1481565952;12/12/2016 00:00;96;70.66;49;30.38;152.42;;657
1481652302;12/13/2016 00:00;72;266.33;45;30.31;277.35;13.5;657
1481738706;12/14/2016 00:00;55;270.02;40;30.31;242.28;5.62;657
1481825101;12/15/2016 00:00;98;103.54;42;30.27;274.62;21.37;656
1481911524;12/16/2016 00:00;98;275.71;39;30.26;184.95;3.37;656
1481997921;12/17/2016 00:00;96;62.72;43;30.28;72.37;1.12;656
1482084321;12/18/2016 00:00;101;3.25;46;30.4;1.23;3.37;656
1482170741;12/19/2016 00:00;89;62.86;48;30.51;129.94;6.75;656
1482257118;12/20/2016 00:00;75;290.88;49;30.54;158.83;4.5;656
1482343533;12/21/2016 00:00;75;242.85;48;30.45;158.07;7.87;656
1482429949;12/22/2016 00:00;28;249.83;51;30.44;190.56;9;656
1482516352;12/23/2016 00:00;34;247.83;51;30.46;140.75;5.62;656
1482602752;12/24/2016 00:00;84;244.13;47;30.47;202.86;3.37;656
1482689197;12/25/2016 00:00;100;114.75;47;30.45;150.96;13.5;656
1482775539;12/26/2016 00:00;101;97.21;48;30.47;139.63;12.37;656
1482861950;12/27/2016 00:00;29;245.46;48;30.46;127.88;4.5;656
1482948339;12/28/2016 00:00;99;83.9;45;30.42;163.08;9;656
1483034740;12/29/2016 00:00;102;119.71;45;30.36;152.91;3.37;657
1483121108;12/30/2016 00:00;75;68.04;41;30.31;170.4;3.37;657
1483207503;12/31/2016 00:00;86;111.12;43;30.31;262.75;9;657
